Time,Ax,Ay,Az,Gx,Gy,Gz,BaroAlt,Lat,Lon,GPSAlt,PDOP,Satellites
1788686310114,0.33,-0.88,-0.17,3.6,2.8,-0.4,564,-7.342729,110.49263,644.6,7,4
1788686310768,0.34,-0.88,-0.17,3.9,2.4,-0.2,564,-7.342731,110.49263,644.5,7,4
1788686312125,0.34,-0.88,-0.17,3.5,2.5,-0.6,563.8,-7.342733,110.49263,645.2,2.8,5
1788686312819,0.34,-0.88,-0.17,3.8,2.2,-0.2,564.1,-7.342734,110.492622,645.9,7,4
1788686313508,0.34,-0.88,-0.17,3.8,2.4,-0.3,564.1,-7.342733,110.492622,645.7,7,4
1788686314411,0.34,-0.89,-0.16,3.9,2.4,-0.8,563.9,-7.342734,110.492622,646.4,2.8,5
1788686315746,0.34,-0.89,-0.17,3.9,2.3,-0.3,563.8,-7.342745,110.49263,650,2.8,5
1788686316563,0.34,-0.89,-0.17,4.2,2.1,-0.8,564.1,-7.342745,110.49263,649.9,2.8,5
1788686317236,0.34,-0.88,-0.17,3.7,2.6,-0.5,564.1,-7.342745,110.492622,649.8,2.8,5
1788686317935,0.34,-0.88,-0.16,3.8,2.2,-0.1,563.6,-7.342746,110.492622,649.5,2.8,5
1788686319313,0.34,-0.88,-0.17,4,2.1,-0.6,563.4,-7.342747,110.49263,649,2.8,5
1788686319998,0.34,-0.88,-0.17,3.7,2.4,-0.2,563.9,-7.342746,110.492622,648.3,2.8,5
1788686320719,0.34,-0.89,-0.17,3.8,2.4,-0.4,563.9,-7.342746,110.492622,648,2.7,6
1788686321403,0.34,-0.88,-0.17,3.8,2.3,-0.6,564.2,-7.342748,110.492622,647.8,2.7,6
1788686322100,0.34,-0.88,-0.17,3.8,2.2,-0.7,563.7,-7.342755,110.492622,646,2.7,6
1788686322782,0.34,-0.89,-0.16,3.4,2.4,-0.5,563.6,-7.342757,110.492622,645.5,2.7,6
1788686323474,0.34,-0.88,-0.16,3.6,2.2,-0.1,563.6,-7.342759,110.492622,644.8,2.7,6
1788686324152,0.34,-0.89,-0.17,3.6,2.3,-0.7,563.9,-7.342762,110.492622,644.5,2.7,6
1788686325510,0.34,-0.89,-0.17,3.6,2.4,-0.5,563.8,-7.342775,110.49263,643.5,2.7,6
1788686326201,0.34,-0.89,-0.17,4.1,2.1,-0.3,563.8,-7.342777,110.49263,643.4,2.7,6
1788686326878,0.34,-0.88,-0.17,4.1,2.1,-0.8,563.7,-7.342778,110.49263,643.2,2.7,6
1788686327556,0.34,-0.89,-0.16,3.9,2.6,-0.5,563.7,-7.342779,110.49263,643,2.7,6
1788686328908,0.34,-0.89,-0.16,4,2.3,-0.4,564,-7.342783,110.49263,642.2,2.7,6
1788686329589,0.34,-0.89,-0.17,3.7,2,-0.2,564,-7.342786,110.49263,641.9,2.7,6
1788686330270,0.34,-0.88,-0.17,3.7,2.2,-0.4,563.9,-7.342789,110.49263,641.7,2.7,6
1788686330965,0.34,-0.89,-0.16,3.8,2.2,-0.5,563.6,-7.342791,110.49263,641.3,2.7,6
1788686331630,0.34,-0.88,-0.17,3.9,2,-0.3,564.5,-7.342797,110.492645,641.6,2.7,6
1788686332298,0.34,-0.89,-0.16,3.8,2,-0.5,564.5,-7.342798,110.492645,641.5,2.7,6
1788686332966,0.34,-0.89,-0.17,3.7,2.4,-0.5,563.6,-7.342801,110.492645,641.2,2.7,6
1788686333655,0.34,-0.88,-0.17,3.8,2.3,-0.1,563.6,-7.342802,110.492645,641,2.7,6
1788686335050,0.34,-0.88,-0.16,3.8,2.6,-0.4,564.2,-7.342805,110.492645,640.5,2.7,6
1788686335727,0.34,-0.88,-0.17,3.9,2.2,-0.6,564.2,-7.342806,110.492645,640.5,2.7,6
1788686336410,0.34,-0.89,-0.17,3.8,2.3,-0.4,564.2,-7.342807,110.492645,640.2,2.7,6
1788686337101,0.34,-0.88,-0.16,3.6,2.4,0,564.2,-7.342809,110.492645,639.9,2.7,6
1788686338661,0.34,-0.89,-0.17,3.6,2.5,-0.2,563.9,-7.342812,110.492645,639.7,2.7,6
1788686339609,0.34,-0.88,-0.17,3.5,2.4,-0.5,563.9,-7.342813,110.492645,639.8,2.7,6
1788686340287,0.34,-0.89,-0.17,4,2.2,-0.6,564,-7.342813,110.492645,639.9,2.7,6
1788686341131,0.34,-0.88,-0.17,3.7,2.3,-0.3,564,-7.342814,110.492645,640.1,2.7,6
1788686341809,0.34,-0.89,-0.17,3.8,2.4,-0.5,564.2,-7.342813,110.49263,639.9,2.7,6
1788686342673,0.34,-0.88,-0.17,3.8,2.6,-0.3,564.2,-7.342811,110.49263,640.3,2.7,6
1788686343371,0.34,-0.88,-0.17,3.8,2,-0.4,563.9,-7.342811,110.49263,640.4,2.7,6
1788686344073,0.34,-0.88,-0.17,3.8,2.2,-0.4,563.9,-7.342811,110.49263,640.3,2.7,6
1788686345460,0.59,0.12,-0.68,20.3,13.4,0.8,567.2,-7.342807,110.49263,641.3,2.7,6
1788686346360,0.61,0.14,-0.66,-7.8,0.3,3.7,567.2,-7.342805,110.49263,640.9,2.7,6
1788686347034,0.6,0.15,-0.68,3.5,6.7,1.5,565.6,-7.342805,110.49263,641,2.7,6
1788686347895,0.6,0.17,-0.66,0.7,1.4,-0.5,565.6,-7.342808,110.49263,640.8,2.7,6
1788686349233,0.58,0.2,-0.66,4.6,2,0.3,564.8,-7.342805,110.492645,640.1,2.7,6
1788686349913,0.58,0.19,-0.67,-3.8,-2.8,0,564.8,-7.342803,110.492645,639.9,2.7,6
1788686350592,0.58,0.2,-0.66,1.3,6,-0.8,564.8,-7.3428,110.492645,639.7,2.7,6
1788686351267,0.59,0.2,-0.66,2.4,-0.9,-2.2,564.9,-7.342799,110.492645,639.7,2.7,6
1788686352632,0.31,-0.5,0.88,232.1,10.3,49.9,564.6,-7.342808,110.492661,639.2,2.7,6
1788686353315,0.29,-0.18,1.08,-4.5,6.6,-2.7,564.1,-7.342806,110.492645,639.4,2.7,6
1788686354230,0.29,-0.2,1.06,3.3,0,2,564.1,-7.342806,110.492645,639.3,2.7,6
1788686354912,0.29,-0.26,1.06,1.8,7.1,0.8,564.7,-7.342806,110.492645,639.6,2.7,6
1788686355588,0.32,-0.93,0.14,-9.3,8.7,-2.1,564.7,-7.342808,110.492645,638.6,2.8,5
1788686356319,0.33,-0.93,0.08,-0.9,4.5,-0.9,564.3,-7.342805,110.492645,639,2.8,5
1788686357070,0.33,-0.93,0.06,0.8,3.3,-0.8,564.3,-7.342805,110.492645,638.9,2.8,5
