Timestamp_ms,Velocity(RPM),TargetIq,ActualIq,PhaseU,PhaseV,PhaseW,Vbus(V)
1788953731062,199.9862,0.0000,0.0221,0.0344,0.1383,0.0438,39.14
1788953731062,199.9862,0.0000,-0.0539,0.1260,-0.0143,0.1049,39.14
1788953731062,199.9862,0.0000,-0.0612,0.3091,0.3825,0.4712,39.13
1788953731062,199.9862,0.0000,-0.0038,-0.1182,-0.0754,-0.0783,39.13
1788953731062,199.9862,0.0000,-0.1363,-0.1487,0.1078,-0.0783,39.14
1788953731062,199.9862,0.0000,-0.0908,0.3091,0.1688,0.2575,39.14
1788953731062,199.9862,0.0000,-0.0473,-0.0572,-0.1059,0.0133,39.13
1788953731062,199.9862,0.0000,-0.0413,-0.0572,0.0162,-0.0477,39.13
1788953731062,199.9862,0.0000,-0.1294,0.1565,0.1078,0.2575,39.14
1788953731062,199.9862,0.0000,-0.1089,-0.0877,-0.0143,0.0133,39.13
1788953731062,199.9862,0.0000,-0.1555,-0.0877,-0.0448,-0.1393,39.14
1788953731062,199.9862,0.0000,-0.0942,-0.0877,0.1688,0.0133,39.14
1788953731062,199.9862,0.0000,-0.0736,0.3702,-0.1059,0.4712,39.14
1788953731157,199.9862,0.0000,-0.1011,-0.0572,0.4741,0.0744,39.14
1788953731157,199.9862,0.0000,-0.1580,0.1565,0.2604,0.1965,39.14
1788953731157,199.9862,0.0000,-0.0539,-0.2098,0.0162,0.0133,39.13
1788953731157,199.9862,0.0000,-0.1348,0.3702,0.1383,0.2575,39.14
1788953731157,199.9862,0.0000,-0.0134,-0.1793,-0.0448,-0.1698,39.14
1788953731157,199.9862,0.0000,0.0018,-0.0572,-0.0754,0.0438,39.13
1788953731157,199.9862,0.0000,-0.0287,0.2786,-0.0143,0.3186,39.13
1788953731266,199.9862,0.0000,-0.1129,-0.0266,0.4436,0.0438,39.14
1788953731266,199.9862,0.0000,-0.0166,0.1870,0.1078,0.2575,39.13
1788953731266,199.9862,0.0000,-0.2161,0.4007,0.4436,0.3796,39.13
1788953731266,199.9862,0.0000,-0.0398,0.2786,0.1078,0.3186,39.14
1788953731266,199.9862,0.0000,0.0265,-0.1182,-0.1364,-0.0172,39.14
1788953731266,199.9862,0.0000,0.0066,0.1870,0.1383,0.4101,39.13
1788953731266,199.9862,0.0000,-0.0481,-0.1182,0.0467,-0.0172,39.14
1788953731394,199.9862,0.0000,-0.0315,-0.0572,0.0162,0.1049,39.13
1788953731394,199.9862,0.0000,-0.0688,-0.0266,-0.1364,-0.0477,39.14
1788953731394,199.9862,0.0000,-0.0801,0.3091,-0.1364,0.4407,39.13
1788953731394,199.9862,0.0000,-0.0555,0.0649,0.2604,0.1049,39.13
1788953731394,199.9862,0.0000,-0.0648,-0.1487,-0.0143,-0.1088,39.13
1788953731394,199.9862,0.0000,-0.0443,-0.0572,0.0773,-0.0783,39.13
1788953731394,199.9862,0.0000,-0.1220,0.4312,0.3520,0.4407,39.14
1788953731394,199.9862,0.0000,-0.0943,-0.0572,0.1994,0.0438,39.13
1788953731394,199.9862,0.0000,-0.1275,-0.1487,0.0467,-0.0172,39.13
1788953731394,199.9862,0.0000,-0.0945,0.0649,0.0467,0.0438,39.14
1788953731394,199.9862,0.0000,-0.0875,0.0955,0.1688,0.0744,39.14
1788953731394,199.9862,0.0000,-0.0285,-0.0572,0.1078,0.0744,39.13
1788953731394,199.9862,0.0000,-0.1144,0.4312,0.0467,0.4712,39.14
1788953731394,199.9862,0.0000,-0.0347,-0.1182,-0.0143,-0.0783,39.13
1788953731557,199.9862,0.0000,0.0196,0.3091,-0.1975,0.3186,39.13
1788953731558,199.9862,0.0000,-0.0637,-0.0877,-0.0754,-0.1088,39.13
1788953731558,199.9862,0.0000,0.0040,0.1565,0.0467,0.1965,39.13
1788953731558,199.9862,0.0000,-0.0964,-0.0572,-0.0754,0.0133,39.13
1788953731558,199.9862,0.0000,-0.0959,0.0344,-0.1059,0.0744,39.13
1788953731558,199.9862,0.0000,-0.1022,-0.0877,0.0773,0.0438,39.13
1788953731558,199.9862,0.0000,-0.0449,0.0649,0.0467,0.1049,39.13
1788953731558,199.9862,0.0000,0.0094,-0.0572,-0.1364,0.0744,39.13
1788953731558,199.9862,0.0000,-0.0777,-0.0266,0.0773,0.0438,39.14
1788953731558,199.9862,0.0000,-0.0378,-0.1793,-0.1364,-0.1698,39.12
1788953731558,199.9862,0.0000,-0.0728,0.0955,0.1078,0.0438,39.12
1788953731558,199.9862,0.0000,-0.0928,-0.0572,-0.1059,-0.0477,39.14
1788953731558,199.9862,0.0000,-0.0463,-0.0266,0.0773,0.1354,39.14
1788953731558,199.9862,0.0000,-0.1320,0.4312,-0.0448,0.3796,39.13
1788953731558,199.9862,0.0000,-0.0169,-0.1182,0.1994,-0.0172,39.13
1788953731558,199.9862,0.0000,-0.0172,0.0344,-0.1669,0.0133,39.13
1788953731558,199.9862,0.0000,-0.0939,-0.0877,0.0773,0.1049,39.13
1788953731558,199.9862,0.0000,-0.0593,-0.1182,-0.0448,-0.1698,39.13
1788953731558,199.9862,0.0000,0.0005,-0.0572,-0.1669,-0.0477,39.13
1788953731558,199.9862,0.0000,-0.1459,0.0649,-0.0754,0.2270,39.14
1788953731558,199.9862,0.0000,-0.0576,-0.0877,0.0162,-0.0477,39.14
1788953731558,199.9862,0.0000,-0.0655,0.0955,-0.1059,-0.0783,39.13
1788953731558,199.9862,0.0000,-0.0608,-0.1487,0.0773,0.0133,39.13
1788953731558,199.9862,0.0000,-0.1020,0.1565,0.1078,0.1659,39.14
1788953731558,199.9862,0.0000,-0.0553,-0.1182,-0.1364,-0.1698,39.13
1788953731558,199.9862,0.0000,-0.0952,0.1260,-0.0754,0.1659,39.13
1788953731558,199.9862,0.0000,-0.0831,-0.0266,-0.1059,-0.0172,39.13
1788953731714,199.9862,0.0000,-0.0251,-0.2403,0.0773,0.0438,39.14
1788953731714,199.9862,0.0000,-0.1311,0.1870,-0.1059,0.1049,39.14
1788953731714,199.9862,0.0000,-0.0990,-0.1182,0.1383,-0.1088,39.13
1788953731714,199.9862,0.0000,-0.1226,-0.0572,-0.0448,-0.0783,39.14
1788953731714,199.9862,0.0000,-0.0402,0.0039,0.3520,0.0744,39.13
1788953731714,199.9862,0.0000,-0.0799,0.3091,0.2299,0.3491,39.13
1788953731714,199.9862,0.0000,-0.0362,-0.0266,0.1383,0.0744,39.13
1788953731818,199.9862,0.0000,-0.1229,-0.1182,0.1688,0.0133,39.13
1788953731818,199.9862,0.0000,-0.0133,-0.1182,0.0467,-0.0477,39.14
1788953731818,199.9862,0.0000,-0.1312,0.0955,0.0467,0.1049,39.14
1788953731818,199.9862,0.0000,-0.0716,-0.0877,0.4130,0.0438,39.14
1788953731818,199.9862,0.0000,-0.1120,-0.1487,-0.1059,-0.0477,39.13
1788953731818,199.9862,0.0000,-0.0504,-0.0572,-0.1364,0.0133,39.13
1788953731818,199.9862,0.0000,-0.0759,-0.0266,0.0467,0.0133,39.14
1788953731818,199.9862,0.0000,-0.0442,-0.1487,-0.0448,-0.0172,39.13
1788953731818,199.9862,0.0000,-0.1659,0.0344,0.2604,0.1354,39.13
