Timestamp_ms,Velocity(RPM),TargetIq,ActualIq,PhaseU,PhaseV,PhaseW,Vbus(V)
1789438646524,0.0000,0.0000,0.2658,0.1857,0.0705,0.2143,29.33
1789438646524,0.0000,0.0000,0.2502,0.0025,-0.0821,0.0312,29.33
1789438646524,0.0000,0.0000,0.2281,0.0636,0.0094,-0.0299,29.32
1789438646524,0.0000,0.0000,0.2086,0.0330,-0.1127,0.0006,29.32
1789438646524,0.0000,0.0000,0.1792,0.1246,0.0094,0.1533,29.32
1789438646524,0.0000,0.0000,0.1717,0.1246,-0.0211,0.1227,29.33
1789438646524,0.0000,0.0000,0.2126,0.2467,0.1315,0.2448,29.33
1789438646534,0.0000,0.0000,0.2533,0.3993,0.4063,0.3059,29.32
1789438646546,0.0000,0.0000,0.2733,0.3383,0.4063,0.1227,29.33
1789438646621,0.0000,0.0000,0.2659,0.1246,0.3147,0.0617,29.33
1789438646621,0.0000,0.0000,0.2647,0.0025,0.0400,-0.0909,29.32
1789438646621,0.0000,0.0000,0.2533,-0.0280,0.0400,0.0312,29.32
1789438646621,0.0000,0.0000,0.2010,-0.1196,-0.0821,0.0006,29.33
1789438646621,0.0000,0.0000,0.1965,0.0330,-0.0516,-0.0604,29.32
1789438646621,0.0000,0.0000,0.1670,0.1857,-0.0211,0.0617,29.31
1789438646623,0.0000,0.0000,0.1613,0.2162,0.1315,0.2448,29.32
1789438646628,0.0000,0.0000,0.2424,0.2772,0.1621,0.2754,29.33
1789438646634,0.0000,0.0000,0.2319,0.3993,0.2842,0.4280,29.33
1789438646644,0.0000,0.0000,0.2751,0.3688,0.4368,0.2754,29.33
1789438646720,0.0000,0.0000,0.2839,0.1857,0.2536,0.1227,29.32
1789438646720,0.0000,0.0000,0.2510,-0.0280,0.1010,-0.0299,29.32
1789438646720,0.0000,0.0000,0.2229,0.0025,-0.1432,-0.0604,29.32
1789438646721,0.0000,0.0000,0.2078,-0.0585,-0.1432,-0.0299,29.32
1789438646721,0.0000,0.0000,0.2037,0.0636,-0.0211,0.0312,29.33
1789438646721,0.0000,0.0000,0.1940,-0.0585,-0.0211,0.1227,29.32
1789438646730,0.0000,0.0000,0.1914,0.0330,-0.0211,0.1533,29.31
1789438646730,0.0000,0.0000,0.1828,0.1857,0.1926,0.2448,29.32
1789438646736,0.0000,0.0000,0.2526,0.3688,0.2842,0.3669,29.33
1789438646749,0.0000,0.0000,0.2540,0.4604,0.3147,0.3669,29.33
1789438646755,0.0000,0.0000,0.2527,0.3688,0.3757,0.1838,29.32
1789438646765,0.0000,0.0000,0.2481,0.1857,0.3452,-0.0299,29.31
1789438646851,0.0000,0.0000,0.2074,-0.0585,0.0094,-0.1520,29.33
1789438646851,0.0000,0.0000,0.2441,0.1551,-0.1432,0.1533,29.34
1789438646851,0.0000,0.0000,0.2119,-0.0280,0.0705,-0.0604,29.32
1789438646851,0.0000,0.0000,0.1908,0.0025,-0.0211,-0.0909,29.32
1789438646851,0.0000,0.0000,0.1909,0.0941,-0.0211,0.0312,29.34
1789438646851,0.0000,0.0000,0.1653,0.1246,0.1010,0.2448,29.32
1789438646856,0.0000,0.0000,0.2348,0.2162,0.2536,0.2143,29.32
1789438646856,0.0000,0.0000,0.1989,0.3383,0.2231,0.3669,29.33
1789438646856,0.0000,0.0000,0.2720,0.3383,0.3452,0.3059,29.32
1789438646868,0.0000,0.0000,0.2645,0.1857,0.3452,-0.0299,29.32
1789438646952,0.0000,0.0000,0.2343,-0.0585,0.0094,-0.0909,29.32
1789438646952,0.0000,0.0000,0.1936,0.0330,-0.0821,0.0312,29.32
1789438646952,0.0000,0.0000,0.2301,-0.0891,-0.0516,-0.0909,29.32
1789438646952,0.0000,0.0000,0.1880,-0.0585,0.0094,-0.0299,29.33
1789438646952,0.0000,0.0000,0.1857,0.0941,0.0094,0.0312,29.32
1789438646952,0.0000,0.0000,0.1781,0.1551,0.2231,0.2143,29.31
1789438646959,0.0000,0.0000,0.1986,0.2162,0.3147,0.2448,29.31
1789438646959,0.0000,0.0000,0.2692,0.4604,0.4063,0.3364,29.33
1789438646959,0.0000,0.0000,0.2617,0.4299,0.3452,0.3059,29.32
1789438647032,0.0000,0.0000,0.2634,0.3383,0.2536,0.2143,29.32
1789438647032,0.0000,0.0000,0.2509,0.2467,-0.0211,0.0617,29.32
1789438647032,0.0000,0.0000,0.2537,0.1551,0.0400,0.0617,29.32
1789438647032,0.0000,0.0000,0.2564,-0.0891,0.0705,-0.0909,29.33
1789438647032,0.0000,0.0000,0.2380,-0.0280,0.0400,0.0312,29.31
1789438647032,0.0000,0.0000,0.1917,-0.0585,0.0705,-0.0299,29.33
1789438647034,0.0000,0.0000,0.1918,-0.0585,-0.0516,0.0922,29.32
1789438647037,0.0000,0.0000,0.1736,0.0025,0.0705,0.0617,29.32
1789438647044,0.0000,0.0000,0.1858,0.1246,0.1926,0.1533,29.32
1789438647055,0.0000,0.0000,0.2066,0.1857,0.3147,0.2143,29.32
1789438647124,0.0000,0.0000,0.2407,0.3078,0.3757,0.3364,29.33
1789438647124,0.0000,0.0000,0.2106,0.3993,0.3147,0.2754,29.32
1789438647124,0.0000,0.0000,0.2562,0.3688,0.1010,0.2754,29.31
1789438647124,0.0000,0.0000,0.2465,0.0025,0.0094,0.0617,29.32
1789438647125,0.0000,0.0000,0.2580,-0.0585,0.0094,0.0617,29.33
1789438647125,0.0000,0.0000,0.2357,0.1246,-0.0516,0.1533,29.33
1789438647125,0.0000,0.0000,0.1873,-0.0891,-0.0516,0.0006,29.33
1789438647134,0.0000,0.0000,0.1821,-0.0585,0.0705,-0.0604,29.32
1789438647146,0.0000,0.0000,0.1776,0.1246,0.1315,0.1533,29.32
1789438647221,0.0000,0.0000,0.1813,0.1246,0.2231,0.2143,29.32
1789438647221,0.0000,0.0000,0.2324,0.2772,0.4673,0.3669,29.32
1789438647221,0.0000,0.0000,0.2599,0.4604,0.4063,0.3669,29.33
1789438647221,0.0000,0.0000,0.2770,0.4604,0.2231,0.3669,29.33
1789438647221,0.0000,0.0000,0.2490,0.3078,0.2231,0.2448,29.32
1789438647221,0.0000,0.0000,0.2478,0.0636,-0.1737,-0.0604,29.32
1789438647223,0.0000,0.0000,0.2638,-0.0585,0.0705,-0.0604,29.33
1789438647227,0.0000,0.0000,0.2395,0.0636,0.0705,0.0617,29.33
1789438647234,0.0000,0.0000,0.2060,0.0636,-0.1432,-0.1215,29.32
1789438647244,0.0000,0.0000,0.1870,0.0025,-0.1127,0.0617,29.31
1789438647319,0.0000,0.0000,0.1921,0.2162,0.1010,0.0006,29.32
1789438647319,0.0000,0.0000,0.1950,0.0941,0.0705,0.1533,29.33
1789438647319,0.0000,0.0000,0.2031,0.2772,0.1621,0.3669,29.33
1789438647319,0.0000,0.0000,0.2139,0.3688,0.3452,0.3364,29.32
1789438647319,0.0000,0.0000,0.2430,0.3383,0.3757,0.2754,29.33
1789438647319,0.0000,0.0000,0.2540,0.3688,0.3452,0.3059,29.32
1789438647321,0.0000,0.0000,0.2750,0.0636,0.2231,0.0617,29.32
1789438647324,0.0000,0.0000,0.2353,0.0025,-0.1127,0.0312,29.32
1789438647334,0.0000,0.0000,0.2139,-0.0891,-0.0211,0.0006,29.31
1789438647344,0.0000,0.0000,0.2021,-0.0280,0.0094,-0.0299,29.32
1789438647357,0.0000,0.0000,0.1867,0.0025,-0.0516,-0.0299,29.32
1789438647430,0.0000,0.0000,0.1910,0.0941,-0.0211,0.0922,29.31
1789438647430,0.0000,0.0000,0.2124,0.0636,0.0400,0.1838,29.32
1789438647430,0.0000,0.0000,0.1906,0.1857,0.0705,0.2143,29.33
1789438647430,0.0000,0.0000,0.1899,0.3688,0.2842,0.3364,29.33
1789438647430,0.0000,0.0000,0.1803,0.3078,0.2231,0.3059,29.31
1789438647430,0.0000,0.0000,0.2442,0.3383,0.3452,0.2143,29.31
1789438647435,0.0000,0.0000,0.2808,0.0941,0.3147,0.0617,29.32
1789438647435,0.0000,0.0000,0.2561,0.0025,0.1010,0.0006,29.32
1789438647444,0.0000,0.0000,0.2404,-0.0280,-0.0821,-0.0299,29.32
1789438647521,0.0000,0.0000,0.2413,0.0330,-0.0211,0.0312,29.32
1789438647521,0.0000,0.0000,0.2170,-0.0585,0.0094,-0.0909,29.32
1789438647521,0.0000,0.0000,0.2144,0.0941,-0.0821,-0.0604,29.33
1789438647521,0.0000,0.0000,0.1873,0.0330,-0.1127,0.0312,29.32
1789438647521,0.0000,0.0000,0.1713,0.0636,0.0094,0.0922,29.33
1789438647521,0.0000,0.0000,0.1868,0.2162,0.1315,0.1227,29.32
1789438647523,0.0000,0.0000,0.2125,0.3078,0.1926,0.2448,29.32
1789438647524,0.0000,0.0000,0.1856,0.3078,0.2231,0.2448,29.32
1789438647534,0.0000,0.0000,0.2628,0.3993,0.3757,0.3669,29.33
1789438647545,0.0000,0.0000,0.2384,0.3383,0.2842,0.3669,29.33
1789438647624,0.0000,0.0000,0.2361,0.3688,0.3757,0.3364,29.32
1789438647624,0.0000,0.0000,0.2663,0.1246,0.3452,0.0617,29.31
1789438647624,0.0000,0.0000,0.2036,0.0025,-0.0516,-0.0299,29.31
1789438647624,0.0000,0.0000,0.2450,0.1246,-0.0211,0.1533,29.32
1789438647624,0.0000,0.0000,0.2145,-0.0280,-0.0516,-0.0604,29.33
1789438647624,0.0000,0.0000,0.2110,0.0330,0.0094,-0.1520,29.33
1789438647626,0.0000,0.0000,0.2155,0.0941,-0.0516,0.0312,29.33
1789438647626,0.0000,0.0000,0.1698,0.1246,-0.1127,0.0617,29.33
1789438647634,0.0000,0.0000,0.1739,0.0636,0.2231,0.0617,29.32
1789438647644,0.0000,0.0000,0.2187,0.2162,0.3452,0.2143,29.33
1789438647722,0.0000,0.0000,0.2015,0.2772,0.4368,0.3059,29.32
