Timestamp_ms,Velocity(RPM),TargetIq,ActualIq,PhaseU,PhaseV,PhaseW,Vbus(V)
1789028926440,0.0000,0.0000,0.0275,-0.1256,-0.0972,-0.1687,29.33
1789028926440,0.0000,0.0000,0.0134,-0.0646,-0.1277,-0.0466,29.33
1789028926440,0.0000,0.0000,0.0064,-0.0646,-0.0667,-0.1077,29.33
1789028926440,0.0000,0.0000,0.0105,0.0575,0.0554,0.0450,29.33
1789028926440,0.0000,0.0000,0.0144,-0.0951,0.0859,0.0450,29.33
1789028926440,0.0000,0.0000,-0.0068,0.1491,0.1470,-0.0161,29.33
1789028926440,0.0000,0.0000,0.0482,0.1796,0.2996,0.1976,29.32
1789028926440,0.0000,0.0000,0.0823,0.2712,0.2386,0.3197,29.33
1789028926445,0.0000,0.0000,0.1160,0.2407,0.0859,0.2586,29.33
1789028926448,0.0000,0.0000,0.1161,0.0270,-0.0667,-0.0771,29.33
1789028926541,0.0000,0.0000,0.0251,-0.1562,-0.0972,-0.1382,29.32
1789028926541,0.0000,0.0000,0.0294,-0.0951,-0.0362,-0.1077,29.32
1789028926541,0.0000,0.0000,0.0364,-0.1562,-0.1583,-0.0466,29.33
1789028926541,0.0000,0.0000,0.0558,-0.0646,-0.1277,-0.1077,29.34
1789028926541,0.0000,0.0000,0.0347,0.0575,-0.0056,-0.0466,29.33
1789028926541,0.0000,0.0000,0.0334,-0.0035,-0.0056,-0.1077,29.33
1789028926541,0.0000,0.0000,0.0120,0.0270,-0.0056,0.0755,29.32
1789028926541,0.0000,0.0000,0.0146,0.0575,0.0554,0.1365,29.32
1789028926541,0.0000,0.0000,0.0327,0.1491,0.2386,0.1365,29.33
1789028926549,0.0000,0.0000,0.0481,0.2712,0.2080,0.1976,29.33
1789028926637,0.0000,0.0000,0.0510,0.3017,0.2080,-0.0161,29.34
1789028926637,0.0000,0.0000,0.0817,-0.0646,0.0859,-0.0466,29.33
1789028926637,0.0000,0.0000,0.0945,-0.1867,-0.0362,-0.1992,29.32
1789028926637,0.0000,0.0000,0.0832,-0.1562,-0.1583,-0.1382,29.33
1789028926637,0.0000,0.0000,0.0719,-0.0646,-0.0972,-0.1077,29.33
1789028926637,0.0000,0.0000,0.0666,-0.1562,-0.1583,-0.1992,29.33
1789028926637,0.0000,0.0000,0.0627,0.2407,0.1775,0.1671,29.32
1789028926637,0.0000,0.0000,0.0752,0.1796,0.2691,0.0755,29.31
1789028926653,0.0000,0.0000,0.1045,0.0575,0.1775,0.0755,29.33
1789028926653,0.0000,0.0000,0.0467,0.0270,-0.0056,-0.0466,29.33
1789028926671,0.0000,0.0000,0.0422,0.2101,0.1165,0.1060,29.33
1789028926671,0.0000,0.0000,0.0447,0.1491,0.1165,0.1671,29.33
1789028926777,0.0000,0.0000,0.0687,0.3933,0.1470,0.2281,29.33
1789028926777,0.0000,0.0000,0.0650,0.3017,0.2691,0.2892,29.33
1789028926777,0.0000,0.0000,0.0941,0.1796,0.2386,0.0144,29.32
1789028926777,0.0000,0.0000,0.1133,0.1186,0.1470,0.0144,29.33
1789028926777,0.0000,0.0000,0.0847,-0.0646,-0.0056,-0.0771,29.32
1789028926777,0.0000,0.0000,0.0366,-0.1562,-0.1888,-0.0161,29.33
1789028926777,0.0000,0.0000,0.0619,-0.0951,-0.0667,-0.1687,29.32
1789028926777,0.0000,0.0000,0.0603,-0.1256,-0.0362,-0.2298,29.33
1789028926777,0.0000,0.0000,0.0488,0.0270,-0.1277,-0.0466,29.33
1789028926777,0.0000,0.0000,0.1115,0.3017,0.2996,0.3197,29.33
1789028926876,0.0000,0.0000,-0.0215,-0.0035,-0.0972,-0.0466,29.32
1789028926876,0.0000,0.0000,-0.0396,-0.0035,-0.0972,-0.0161,29.31
1789028926876,0.0000,0.0000,-0.0039,-0.0035,-0.0362,-0.0771,29.32
1789028926876,0.0000,0.0000,0.0848,-0.0646,-0.0972,-0.0161,29.34
1789028926876,0.0000,0.0000,0.0633,-0.0951,-0.1583,-0.1382,29.33
