Timestamp_ms,GPS_Year,GPS_Month,GPS_Day,GPS_Hour,GPS_Min,GPS_Sec,Time_Valid,Accel_X(G),Accel_Y(G),Accel_Z(G),Gyro_X(deg/s),Gyro_Y(deg/s),Gyro_Z(deg/s),Baro_Altitude(m),Latitude,Longitude,GPS_Altitude(m),PDOP,Fix_Type,Satellites
163,1980,1,6,1,17,11,0,-0.052978515625,0.97998046875,0.352783203125,3.662109375,1.71661376953125,0.14495849609375,559.3033447265625,0.0,0.0,-17.0,99.98999786376953,0,0
213,1980,1,6,1,17,11,0,-0.0546875,0.97900390625,0.3583984375,4.02069091796875,1.83868408203125,-0.2288818359375,559.3033447265625,0.0,0.0,-17.0,99.98999786376953,0,0
263,1980,1,6,1,17,11,0,-0.0576171875,0.981201171875,0.34765625,3.9520263671875,1.8463134765625,0.14495849609375,559.3033447265625,0.0,0.0,-17.0,99.98999786376953,0,0
313,1980,1,6,1,17,11,0,-0.05517578125,0.9814453125,0.356201171875,3.53240966796875,2.0294189453125,-0.34332275390625,559.3033447265625,0.0,0.0,-17.0,99.98999786376953,0,0
363,1980,1,6,1,17,11,0,-0.05859375,0.976806640625,0.34912109375,4.14276123046875,1.79290771484375,-0.12969970703125,559.3033447265625,0.0,0.0,-17.0,99.98999786376953,0,0
413,1980,1,6,1,17,11,0,-0.054931640625,0.978759765625,0.359130859375,3.6468505859375,2.044677734375,-0.4119873046875,559.3033447265625,0.0,0.0,-17.0,99.98999786376953,0,0
463,1980,1,6,1,17,11,0,-0.05908203125,0.982177734375,0.3583984375,2.75421142578125,2.3651123046875,0.1678466796875,559.3033447265625,0.0,0.0,-17.0,99.98999786376953,0,0
513,1980,1,6,1,17,11,0,-0.052001953125,0.981689453125,0.356201171875,4.53948974609375,1.373291015625,0.26702880859375,559.3033447265625,0.0,0.0,-17.0,99.98999786376953,0,0
563,1980,1,6,1,17,11,0,-0.05419921875,0.98095703125,0.35107421875,3.71551513671875,1.8768310546875,-0.23651123046875,559.3033447265625,0.0,0.0,-17.0,99.98999786376953,0,0
613,1980,1,6,1,17,11,0,-0.0576171875,0.983154296875,0.356201171875,4.03594970703125,1.88446044921875,0.06103515625,559.3033447265625,0.0,0.0,-17.0,99.98999786376953,0,0
663,1980,1,6,1,17,11,0,-0.0576171875,0.978759765625,0.35400390625,3.47137451171875,1.71661376953125,-0.274658203125,559.3033447265625,0.0,0.0,-17.0,99.98999786376953,0,0
